user_id,item_id
97,2646 1811 472 2297 584 2980 1831 3022 1039 1956
98,3529 1316 463 1543 1223 3013 989 1583 2862 1337
99,2757 2342 1617 1811 1471 3677 1711 1861 1044 1374
100,472 1315 2402 1615 1376 1057 2732 790 3059 2528
101,472 3013 1583 2297 1316 36 463 1039 1831 2054
102,3013 1223 3423 1279 2862 1543 1638 184 3269 36
103,1583 584 1039 640 2297 2630 2210 3418 1831 2757
104,3022 2732 1583 3418 2256 2297 1039 2603 584 36
105,472 1583 3022 2297 2732 3409 1811 640 1039 3013
106,472 2402 2732 2256 463 2370 2980 1615 3013 3677
107,1583 3022 2732 2297 3418 169 1039 2256 2862 3409
108,472 2402 1315 2054 1102 3418 2664 2828 1615 1057
109,3022 584 2297 1831 1583 2980 640 2646 1956 169
110,1223 3013 2402 124 3402 2528 790 2054 1615 3529
111,246 2402 467 2980 3474 863 640 3529 1887 2774
112,36 2862 1560 2564 1615 989 790 1592 3269 640
113,1583 3013 1223 1831 36 463 1316 2210 1543 476
114,2636 2281 452 2054 3227 1775 2646 2956 1315 3696
115,3423 3269 3600 1592 1668 120 3409 796 3151 406
116,1583 3022 1223 2732 3013 3529 584 3409 1831 1039
117,472 3022 2980 640 2646 1337 2862 1811 331 2757
118,472 2732 1376 2054 132 3692 3418 2402 1615 2528
119,1315 169 1186 1615 2054 1811 2297 3022 512 2732
120,3409 3013 2256 2688 3382 1223 1560 1316 1583 2564
121,472 2054 3022 2297 2402 3529 2980 1315 1223 1615
122,1543 1615 1811 989 463 124 3402 1560 3059 2327
123,3022 2256 2603 2732 2745 2688 569 3382 169 601
124,1811 1615 3529 2688 2281 2054 2646 2980 1543 3409
125,3013 1316 3409 1583 1592 2564 2402 640 1560 2314
126,2646 467 2402 1831 1583 1887 1371 790 2297 1039
127,2297 1811 3022 1583 1831 1956 640 2980 3529 3677
128,2980 2646 2757 3529 3677 183 2468 3327 2338 1746
129,3529 584 2980 989 1039 1543 331 2732 2210 2314
130,1831 584 640 1039 2297 1583 1337 2980 3022 1956
131,1543 124 1316 989 2076 1560 528 69 3367 2564
132,1315 1279 184 132 3013 3409 1615 1223 169 1560
133,1039 3022 208 3694 2342 1078 2331 1546 1956 1809
134,2402 3692 1379 1859 2528 1057 2828 1083 2933 1887
135,3013 3529 1316 463 1337 2862 2402 790 989 2054
136,1831 2297 3022 1583 3529 1956 1337 1223 472 1211
137,472 863 2646 1030 463 1887 790 1583 3059 188
138,640 1560 1746 2757 3371 246 2237 2129 3005 785
139,472 1315 2402 1376 2528 2732 1057 3142 3059 1102
140,3022 584 1583 2297 2980 2732 3418 640 169 2603
141,3013 1223 3409 1316 1543 1583 2862 3529 2402 36
142,1039 3013 584 1279 3529 2862 169 184 1638 2817
143,472 1315 2054 2402 790 1543 1057 2528 1615 1840
144,3022 584 1546 2630 2603 1617 3327 3534 2281 1078
145,3022 1583 2626 2297 3238 1211 2501 543 119 3046
146,2732 3013 132 1615 2054 3409 1583 2862 2402 2256
147,1315 2862 1279 3013 132 3423 1543 1615 2054 1223
148,1887 3692 1315 37 2327 1102 3402 3448 361 1811
149,640 3529 2630 732 1831 472 476 2745 1956 3262
150,2210 1583 2603 3238 2342 1039 2745 2630 208 2732
151,472 3013 1223 3409 2862 1316 2732 169 2256 463
152,2054 3692 2370 2862 2745 1956 1510 183 2510 331
153,1583 640 36 3013 2297 1831 3409 2210 1223 2630
154,463 2314 331 512 2602 2630 2128 1811 944 2564
155,472 1315 2732 3022 2528 2646 1583 2054 132 584
156,472 2980 2297 1315 1337 1638 1030 2342 2664 3423
157,584 2297 1039 1583 640 1956 2626 169 2603 2210
158,1316 2054 3409 2862 2732 3529 1592 2564 3600 1583
159,2370 1304 3474 1039 1887 2603 3402 208 3448 527
160,1316 1831 1615 463 2646 1337 2297 1315 2960 508
161,2297 584 169 1039 3409 512 3529 2732 2210 2603
162,472 1583 1279 2862 3022 3418 1315 132 36 2732
163,2980 1583 1615 3327 2402 3677 2956 790 1211 3059
164,3013 1831 2862 1560 2297 2402 2617 2980 1615 1030
165,472 1315 1223 2054 3013 1543 1615 1560 3367 1858
166,3022 584 2297 1583 1831 2732 2646 2757 169 472
167,472 1583 1223 3529 640 36 1316 2297 3409 463
168,3013 472 1543 36 2862 3529 124 1583 1315 463
169,1223 1560 2862 1583 3423 2688 1831 3424 2510 2603
170,1337 2210 1086 2646 1746 2630 1223 36 1316 1560
171,3022 3409 1583 2784 618 2603 2688 2297 2510 573
172,472 3013 3423 36 1223 3269 1279 1638 796 3409
173,2646 2054 1615 1811 1831 2402 3116 3529 1543 2732
174,1315 790 1887 2256 37 3116 1227 1223 2528 2370
175,3013 2862 1316 2732 169 3529 2402 1615 2054 463
176,472 1583 2732 640 584 2980 3529 1039 2603 463
177,2732 1583 2054 1615 3692 169 2862 36 3409 3423
178,732 401 1505 2557 2931 1177 463 3692 3013 2528
179,3022 1583 2297 584 1039 2784 2732 3418 2688 2817
180,1811 1289 617 2176 2934 2170 3701 3000 517 452
181,472 3013 36 463 1560 2564 2297 640 2402 2732
182,3013 1223 2862 1543 3409 472 1316 1560 1279 3423
183,584 1831 3022 2297 1956 463 1746 1337 472 3238
184,2256 169 2281 2297 2636 2054 512 2980 1583 204
185,3423 2862 1638 184 3269 1543 3151 779 741 3537
186,1186 573 253 3557 169 512 2335 2931 618 3409
187,3013 1223 472 1316 3409 1560 124 3423 1858 1279
188,2335 3298 2862 204 331 2626 2067 2732 1811 1546
189,3013 2732 1376 1583 1560 989 463 1057 2297 1858
190,2636 663 2335 1070 1536 2063 1289 2763 2874 1729
191,2862 1583 1279 618 2510 3022 2557 2784 2297 463
192,3022 169 183 2210 2626 1211 331 3677 472 2630
193,1583 3022 36 2603 640 584 1039 3529 3013 2297
194,1831 640 3022 1583 2980 2297 208 2757 3529 2646
195,2402 790 1376 2664 3692 2862 2327 3142 3423 1057
196,1039 1956 3238 2626 2501 2732 2468 2646 501 1044
197,2862 3409 3013 1543 472 1223 3423 3153 1279 3529
198,2603 2194 1711 2630 1471 1617 1248 1078 3327 1018
199,3013 1223 1279 472 36 184 1638 1315 3409 1583
200,573 620 3653 375 184 3659 3125 6 2384 1011
201,584 640 3409 3529 512 463 2646 2688 2980 3694
202,2297 584 3529 1831 1039 3409 3013 1223 463 2688
203,1831 640 1583 2297 2980 3529 463 1039 1956 472
204,1583 3013 36 2732 3022 1223 2862 2256 3418 3423
205,2256 1223 1583 3409 640 1560 3529 1615 790 2980
206,1956 2297 2980 1811 1583 1039 204 3677 3298 2732
207,472 2256 1057 1840 1615 37 790 1376 3059 2528
208,1279 3013 2862 184 1638 1543 3269 1223 472 3409
209,2297 640 1831 2732 1956 1039 2210 169 2757 1811
210,1811 472 3677 2636 2297 1615 1583 2862 2774 3529
211,472 3013 2862 1223 1543 1316 2297 3529 1615 512
212,472 3529 1316 1223 1543 2862 989 1583 2564 3409
213,1039 36 584 3529 472 2980 3013 2732 2862 1223
214,472 1337 2370 944 2402 1086 2732 3327 989 1560
215,2980 169 1583 3418 2646 183 1315 1808 2054 1001
216,3409 2862 3013 472 3131 36 2510 1638 169 3269
217,1374 1471 2409 2468 1216 1270 339 2999 1039 212
218,208 3694 2210 1039 36 2630 2603 2757 2129 3022
219,2784 2688 3022 2603 1583 2510 2931 2630 36 2297
220,1337 3013 2646 1831 124 1316 2862 2297 1039 476
221,3116 1057 3059 37 1376 1887 863 166 2732 2256
222,3529 472 732 2784 2745 2646 2128 1956 2664 1548
223,2210 3022 1583 3694 1039 2297 2603 2630 2331 2342
224,2732 2646 1811 2054 472 1315 2980 2256 584 1615
225,472 1543 2402 2256 1583 3409 2862 3529 3423 36
226,3529 989 463 2076 69 1030 1615 1633 94 2646
227,640 2210 2630 3238 3529 463 293 119 1211 2468
228,1583 1831 2980 1956 2757 169 463 331 36 2626
229,3131 1315 472 236 3423 2862 2054 2828 2402 3269
230,472 3013 1223 1315 3409 1279 132 184 36 2256
231,1315 1279 472 1615 2054 2862 3151 184 3423 2474
232,1831 1223 476 1583 3013 1039 36 3022 463 208
233,2256 3382 2068 2840 569 2688 1354 2732 3409 2470
234,3402 124 1315 1227 2370 863 1316 3600 1456 2076
235,2256 2732 2402 1376 1583 2054 3022 2980 1223 3692
236,472 2054 2402 3692 476 1304 36 2630 2342 2603
237,3013 1916 124 472 3365 584 1039 3022 94 382
238,472 2646 36 2768 3694 1337 1510 1505 2402 2603
239,3022 1583 2297 640 584 2688 2603 1831 1039 2210
240,2297 2757 2745 3418 1956 1078 543 3529 1546 2784
241,1316 36 1858 3350 883 2327 138 1840 3600 3692
242,2980 2603 2784 1831 2757 138 3262 1304 2342 331
243,1315 2054 2402 1223 3013 1615 2256 1543 3402 2528
244,1831 2210 3694 2757 584 1039 1583 3022 2297 2630
245,472 2054 1223 1316 790 1376 1615 3692 2664 3142
246,3013 3409 1316 36 1543 1831 1560 463 2862 3022
247,640 1956 2757 2980 1039 331 169 2626 2342 2745
248,584 2630 2603 2757 3418 476 2980 208 2626 1505
249,1069 1811 59 1840 663 1536 2063 452 2466 3609
250,3022 2688 3116 2780 1536 2784 3142 1855 3338 2510
251,1831 640 2297 1583 584 3529 1956 463 1039 2980
252,1039 584 2297 640 2980 463 2732 2603 2630 169
253,1223 1583 3529 1543 2402 1316 36 2732 2054 463
254,472 3022 1583 2297 2732 2980 584 2646 1039 2054
255,3000 512 1070 2165 253 3557 1309 1615 1289 2862
256,472 3013 3153 3269 3529 1592 796 2534 989 1505
257,472 3013 1223 3409 1543 1316 2732 463 169 640
258,1583 331 1337 1223 1543 1211 989 2630 944 1615
259,472 1223 3409 1543 2862 1583 3529 2402 1560 3153
260,1840 132 406 472 1057 184 2466 1279 2528 2070
261,790 1376 1057 3402 467 361 3692 2528 3142 246
262,2745 3473 601 2664 183 3131 1102 3694 3424 1337
263,2054 3692 3059 863 2370 1057 3402 3656 246 2256
264,2054 1379 37 1057 2402 132 166 1184 1376 3059
265,1337 476 487 3441 802 2169 1615 1592 1052 1858
266,1831 640 1583 463 1560 2297 1316 3013 1223 2564
267,472 2402 863 3692 2054 2370 3474 3142 922 1341
268,472 1223 2297 2862 1315 2646 3409 2402 2732 2664
269,3409 569 2745 3677 3049 183 1316 1223 2602 463
270,1543 2564 124 3153 1371 463 1950 790 1633 94
271,3022 584 2297 1039 1583 2646 1831 1956 640 2732
272,3423 2862 3013 1279 3269 184 1223 3409 3151 36
273,1583 2732 2297 3529 1223 2256 640 2054 2980 1316
274,1560 569 1831 853 1216 2688 2210 601 465 472
275,1583 3022 2297 584 1831 1039 3409 3529 3013 1223
276,2297 2603 1039 331 3529 3473 1546 1078 543 2745
277,3022 584 2297 1831 1583 640 1039 1560 169 2603
278,293 1086 2745 1078 650 1546 463 1337 36 3005
279,1956 2194 1510 3349 2774 1746 1328 2366 467 1543
280,1831 2603 1956 1039 2342 2745 398 331 3238 2468
281,640 2757 398 2210 2342 2194 2646 293 2630 476
282,1583 1831 463 640 584 472 1039 2862 1337 1956
283,2402 1376 2054 790 3692 1315 1887 3059 2370 863
284,1583 2297 3022 1086 3409 2617 2256 2745 293 1543
285,1216 640 2068 2688 3022 2210 2840 584 2630 3066
286,3382 569 3066 3022 2688 640 2666 1831 584 781
287,1811 3677 3298 2281 2646 2603 1471 2342 646 452
288,1831 3694 1039 3022 463 1337 2342 36 2603 1956
289,1811 3022 169 2297 2256 512 3677 1583 2688 584
290,2862 1887 463 1371 790 2528 3022 1039 2564 3448
291,3013 2862 36 3409 3423 1223 618 1638 2557 1543
292,472 1831 3529 1583 2297 463 640 584 2980 1811
293,2980 1831 2402 463 2054 2256 36 2862 3409 169
294,2980 3022 2768 1546 2732 1086 1078 2603 2338 543
295,584 1956 2980 1811 1039 3677 640 183 2256 3049
296,3382 2068 2603 569 2840 2688 1736 2745 853 465
297,1546 640 2210 493 3049 2745 1039 169 1018 1007
298,640 2603 1831 2757 331 512 3529 2342 2745 1546
299,640 2603 584 2745 2297 246 2757 463 2054 476
300,2327 1858 2528 3367 989 463 169 3350 2224 132
301,3529 640 1583 472 1223 3022 2980 1039 1316 3013
302,1279 184 472 1315 2862 3013 3423 1223 132 3151
303,472 2732 3022 1583 2980 640 2297 584 1831 2402
304,472 1543 3153 3423 124 3269 3409 36 989 2387
305,2054 1315 3692 3142 863 1887 1341 1811 3402 3474
306,3022 1583 2297 584 169 2817 1279 1186 184 2510
307,1543 2646 2370 2327 1887 1315 922 3402 246 2564
308,3022 584 2297 2732 3418 169 640 2603 2646 1956
309,2603 2688 1956 2256 2745 2630 512 472 1216 331
310,1315 472 1811 2646 1057 3116 2528 2732 1858 166
311,2980 1831 2603 1211 1086 2745 3238 2256 3049 16
312,472 3529 2646 467 2297 1337 1887 790 2256 1030
313,169 1956 1039 2980 640 2688 512 2757 1186 331
314,246 3474 1887 467 3059 1315 3448 3402 188 790
315,472 3059 3692 863 2370 3142 2256 922 790 2732
316,472 1376 2054 3692 3142 863 790 2370 1315 1887
317,584 2980 169 1848 2774 452 472 1086 2999 640
318,3013 472 1316 1543 3409 2862 3153 1583 463 2564
319,1831 1583 3022 2297 2210 1039 2980 3694 2603 472
320,472 3402 2402 883 1887 406 3350 1668 1858 3448
321,1583 3694 2564 3529 2646 36 2980 169 650 2510
322,989 3272 2617 1956 3238 3153 944 1916 2342 2366
323,1223 2862 1376 2256 2745 183 487 922 1279 2076
324,132 1057 406 2466 1379 2528 1615 613 3231 652
325,472 3423 1315 2862 1543 3013 3269 3151 1859 2402
326,3022 2630 2745 1039 1078 1956 1216 2342 2980 331
327,2402 1583 2980 3022 2054 3692 640 2297 1223 2646
328,169 2281 2956 183 1057 1379 922 204 3142 2664
329,472 1831 1583 2980 640 463 2402 584 2732 3022
330,3022 584 640 2297 1583 1831 2210 1956 2757 2980
331,2054 790 1376 1315 3692 3142 3059 922 863 1543
332,584 2297 2626 1039 1831 331 543 1617 1811 1211
333,2256 2732 36 2603 2402 2980 1376 2862 2757 1337
334,3022 584 1831 2297 640 1583 1039 2980 1956 476
335,2054 3013 1543 1057 2646 3367 2297 1858 1583 2732
336,2297 584 1583 640 1039 2980 1831 1956 2210 2757
337,3022 1583 584 1039 2297 2603 640 2980 2732 36
338,1840 1057 1615 3116 406 3367 1858 3350 166 1811
339,132 2402 3692 3142 494 2933 3131 401 1379 1083
340,3022 2732 2297 2603 169 2745 2757 1216 2342 1811
341,1039 640 1831 1583 472 2732 463 1211 208 1337
342,1543 1223 2862 1316 3423 124 3409 3269 1560 3367
343,472 2528 2732 2054 132 1840 2402 1811 1186 3022
344,1887 922 2327 2664 3013 1371 2210 3656 2068 1337
345,3022 584 1831 2646 2980 2732 640 1956 472 1315
346,3022 2297 584 1039 1583 1956 1811 1831 2732 2646
347,1831 208 3529 1337 3238 138 36 1086 2768 2129
348,2054 1615 1057 3116 1858 1223 3350 3013 1811 2528
349,2402 863 3692 3474 3656 1304 1223 1030 1831 1379
350,2745 2210 1216 2331 2630 3022 3694 2342 1354 331
351,1811 2297 3022 169 584 3677 2335 512 2281 1583
352,169 2256 1811 1315 2054 2297 3677 1186 1615 2636
353,169 1831 2784 2510 3529 2757 463 2342 2626 1560
354,640 1583 3022 1039 36 2603 2630 3529 1505 463
355,2646 2732 1057 3116 1840 2297 3022 3677 1223 790
356,3529 2297 640 3022 1039 2862 1337 1223 989 3013
357,3022 1831 2210 1583 2297 2603 1039 1956 2630 2342
358,3013 1316 3409 3529 2564 1583 1560 463 124 772
359,863 1316 3656 3677 3367 1592 2470 3600 69 1583
360,3382 2256 1560 2840 204 2636 1801 569 169 3409
361,472 2256 2054 1376 3022 2646 1583 1811 2297 1315
362,3382 569 1216 465 853 3110 1166 2603 2127 1197
363,584 2646 472 3529 463 3327 2664 1315 2402 2342
364,1279 3423 184 3269 3013 3151 406 472 741 1638
365,124 2862 1315 3350 3402 1858 2402 3600 1615 2076
366,584 1039 2980 3418 2732 169 1956 2646 183 1186
367,2402 1543 3116 2528 2256 3600 246 1223 37 989
368,584 1039 2603 2297 1956 640 1546 1078 1831 3418
369,584 3022 476 1315 208 3694 1211 472 1510 2603
370,472 1543 3409 2862 1223 3423 1316 2054 1615 3153
371,2688 3022 169 584 2606 640 1186 3013 2630 463
372,472 3013 3423 2862 1279 36 1223 1543 3409 3269
373,1568 640 2210 82 2501 1831 119 1172 2186 902
374,2210 2757 476 3022 3694 1583 1039 2603 208 2297
375,3529 989 463 246 3013 2256 2297 2732 1337 467
376,640 584 2980 3529 2210 476 472 2757 2646 208
377,640 331 398 476 2297 3238 3694 1086 293 3529
378,584 2757 2980 1039 3694 331 398 1086 1809 208
379,472 1316 1543 3409 36 2402 3153 463 2256 3022
380,472 1583 3022 36 2297 3418 584 3013 2862 2980
381,1315 2054 472 1840 1057 3116 2402 2256 166 1184
382,2054 1376 790 1887 3142 3059 3402 2370 1371 1615
383,3298 3350 1858 2646 1560 2054 2335 2528 2119 124
384,1223 3013 472 1543 3409 1560 2862 1316 1315 1583
385,2980 1211 2468 2210 183 3528 543 2194 476 2603
386,1223 1543 1316 2862 3409 1315 1560 3423 124 3367
387,36 3013 1583 1223 1505 3409 1039 640 3022 463
388,3423 3537 3269 2862 1279 2798 2953 320 1543 1706
389,640 1583 472 3022 2980 2297 1039 2210 476 2646
390,1583 1039 169 512 2054 1811 2732 2980 640 1956
391,3022 584 2297 2980 1039 2745 1956 36 2626 3529
392,2256 1560 1223 2732 1831 3022 2068 3013 2603 3382
393,3269 3350 2564 3151 1638 1615 69 1668 2265 1590
394,3013 1543 1316 3409 1560 3423 2862 1315 3269 3153
395,132 184 3557 1615 1057 2165 1279 2070 652 2528
396,3022 1583 2297 640 1956 2210 2646 3529 169 2630
397,3022 2297 584 1583 1039 2732 640 2646 2980 1956
398,584 1831 640 331 1039 2757 2210 1086 169 1211
399,3529 1583 1831 2297 2646 1337 2980 1316 1223 989
400,472 1583 3022 3409 2862 3013 2732 3529 1223 1615
401,573 1439 2256 253 2858 892 2688 620 1039 1560
402,3022 1315 2054 1811 169 2297 584 472 2980 1615
403,1831 584 640 2297 1956 2980 331 2757 1039 3529
404,2402 3692 3059 1811 1583 2370 1001 922 790 640
405,472 2732 2402 2054 1583 1376 2256 2646 2980 3022
406,3022 1039 2210 2980 1583 2297 3694 2626 2603 2342
407,2646 2054 2297 2636 3116 3367 3529 1583 1858 2862
408,640 2646 169 331 2768 1615 472 2603 36 3053
409,3022 2784 2688 3131 3409 2817 2603 2510 132 2256
410,1831 2342 2630 3049 212 1086 1711 3238 1186 1374
411,3013 1583 3529 169 2688 2732 512 3022 1615 3153
412,1315 1858 1811 2646 1240 2376 1223 3067 2528 2636
413,2980 584 1583 2732 1956 2256 3529 463 2342 476
414,584 1956 2603 2342 331 2745 398 3529 472 1211
415,2862 3013 1223 1560 1316 124 3409 3529 472 989
416,3022 584 1956 2626 2342 3529 398 3694 463 2468
417,1315 132 1615 3418 2646 1039 1583 36 2732 3529
418,472 2402 809 37 132 3597 2457 790 1887 3157
419,472 2646 2980 1039 584 3022 1583 1831 1315 2297
420,2688 3022 512 169 2297 1583 3409 1811 2732 2256
421,584 3022 1086 2331 463 2626 2338 1546 2646 2613
422,1223 3013 1583 3409 1316 36 463 584 2980 2402
423,3022 584 2297 1956 1831 640 2646 512 2732 1211
424,2784 2510 2931 1583 3022 2606 2557 601 779 3013
425,1583 2862 169 3022 512 3423 3529 3153 1279 463
426,3529 463 2774 2402 1337 2054 1560 124 1916 188
427,472 36 1279 3013 3423 1583 3529 1543 1315 3418
428,169 1811 2402 476 2528 1510 463 3116 2603 2281
429,472 1316 3529 989 1543 2862 3013 1223 463 1583
430,1831 1811 3529 2636 2732 463 2281 472 1337 1471
431,640 3409 2603 1583 2210 3022 3013 2297 2564 476
432,3013 36 3409 472 1583 2862 3423 1505 1638 1316
433,3298 3000 169 1811 253 512 3677 2281 452 1536
434,3013 1316 1543 3409 36 3423 2564 1560 3424 1505
435,3529 463 2980 3022 1223 944 476 1211 124 1615
436,472 2732 1315 3022 1583 169 2054 2297 2646 1223
437,1811 3022 2335 1711 1848 1186 1808 1583 59 2587
438,3382 3409 2068 2840 1216 2256 1560 640 853 2564
439,463 1337 476 2646 1223 3694 1560 802 2210 36
440,472 1583 2732 2980 2402 640 3022 3529 2297 2646
441,1279 2862 3423 3409 184 1223 3269 1543 618 3151
442,2732 2256 3022 169 2297 1315 584 2054 1223 2646
443,472 1223 1315 1316 2402 124 2054 2256 790 1858
444,472 463 2757 1223 1956 3013 2630 476 1543 1337
445,2646 472 1831 584 640 1315 2402 1583 1510 3116
446,472 3529 1583 2297 463 1831 2980 584 1811 1337
447,640 1831 2210 3694 476 2331 1039 2342 3022 1211
448,472 1315 1379 2402 1376 1840 132 1057 3692 3059
449,472 1315 2054 2732 2402 1615 2646 1811 3116 1057
450,1315 3116 1811 1223 467 2297 2980 1746 1583 2732
451,2402 3059 1057 1376 3474 790 2732 2646 3438 872
452,3013 2054 2646 1615 1858 3367 36 124 1831 463
453,472 1315 2402 863 1887 467 3059 3474 37 2370
454,2646 584 2370 2402 2636 169 1316 1223 790 1887
455,472 3022 1583 2732 2297 2980 584 1039 2646 2054
456,472 3013 1223 1316 1543 2862 1583 3423 2402 3153
457,472 132 3423 1279 2862 1315 3013 36 3418 1543
458,2732 1315 2054 2646 2256 2402 1223 2980 1615 790
459,1279 184 169 3013 1186 2817 1638 1039 618 132
460,3409 1583 3013 1223 1316 2862 2688 2297 640 472
461,472 3423 2297 1505 1592 1279 3269 2732 2664 3022
462,2862 1315 1615 1858 2054 1638 124 3350 2646 2528
463,472 3013 3409 1223 2862 2402 3423 2564 2054 2256
464,2256 2732 1376 2054 3692 1223 790 1315 3059 3013
465,3529 1583 36 1316 1543 1505 584 2210 1337 1560
466,472 3418 1315 2732 36 132 1583 2402 3013 1376
467,1831 584 3022 640 1583 2297 331 2980 3529 2757
468,2256 2732 3022 2980 1376 1583 1811 2297 640 2054
469,2603 2630 331 2342 2688 2331 169 119 2468 1617
470,1831 1039 476 1223 2980 3013 208 2646 472 1956
